,0
0,0.115
1,0.05
2,0.135
3,0.065
4,0.065
5,0.055
6,0.135
7,0.125
8,0.06
9,0.065
10,0.065
11,0.115
12,0.18
13,0.185
14,0.1
15,0.09
16,0.06
17,0.29
18,0.11
19,0.145
20,0.165
21,0.1
22,0.255
23,0.045
24,0.15
25,0.275
26,0.16
27,0.16
28,0.135
29,0.14
30,0.12
31,0.12
32,0.095
33,0.13
34,0.13
35,0.11
36,0.125
37,0.115
38,0.06
39,0.19
40,0.275
41,0.075
42,0.13
43,0.075
44,0.04
45,0.165
46,0.135
47,0.28
48,0.08
49,0.125
50,0.08
51,0.095
52,0.085
53,0.1
54,0.165
55,0.135
56,0.07
57,0.055
58,0.24
59,0.36
60,0.035
61,0.11
62,0.115
63,0.155
64,0.085
65,0.065
66,0.065
67,0.235
68,0.16
69,0.125
70,0.105
71,0.095
72,0.08
73,0.07
74,0.26
75,0.065
76,0.15
77,0.125
78,0.075
79,0.105
80,0.07
81,0.1
82,0.145
83,0.115
84,0.1
85,0.065
86,0.16
87,0.13
88,0.09
89,0.215
90,0.325
91,0.165
92,0.06
93,0.14
94,0.15
95,0.185
96,0.135
97,0.145
98,0.1
99,0.095
