,Random seed,SPT,EDD,MST,ST,CR,WSPT,FIFO,DQN
0,6306.0,0.615,0.215,0.195,0.105,0.21,0.25,0.235,0.265
1,7820.0,0.19,0.165,0.135,0.19,0.165,0.195,0.15,0.265
2,5087.0,0.165,0.14,0.14,0.22,0.205,0.315,0.69,0.17
3,9954.0,0.38,0.575,0.295,0.575,0.2,0.125,0.155,0.22
4,2286.0,0.31,0.35,0.18,0.395,0.385,0.17,0.21,0.175
5,368.0,0.17,0.375,0.07,0.165,0.19,0.15,0.135,0.265
6,5894.0,0.165,0.355,0.17,0.16,0.515,0.425,0.405,0.195
7,8362.0,0.145,0.24,0.155,0.235,0.165,0.185,0.26,0.18
8,9208.0,0.155,0.175,0.22,0.295,0.135,0.45,0.23,0.175
9,7394.0,0.165,0.53,0.125,0.21,0.28,0.395,0.28,0.215
10,9710.0,0.125,0.215,0.13,0.36,0.315,0.175,0.165,0.28
11,1450.0,0.235,0.585,0.245,0.18,0.185,0.275,0.195,0.22
12,4655.0,0.28,0.45,0.58,0.135,0.115,0.23,0.465,0.215
13,3079.0,0.135,0.245,0.2,0.45,0.205,0.15,0.09,0.21
14,1908.0,0.215,0.16,0.25,0.335,0.13,0.27,0.16,0.245
15,1103.0,0.33,0.235,0.155,0.135,0.365,0.235,0.17,0.32
16,6288.0,0.135,0.255,0.335,0.37,0.275,0.185,0.365,0.235
17,1412.0,0.19,0.215,0.65,0.125,0.295,0.18,0.225,0.155
18,8780.0,0.195,0.165,0.255,0.22,0.385,0.15,0.335,0.31
19,3450.0,0.14,0.215,0.18,0.265,0.385,0.23,0.21,0.295
20,8624.0,0.13,0.265,0.22,0.12,0.295,0.295,0.18,0.235
21,9866.0,0.22,0.19,0.26,0.24,0.135,0.69,0.26,0.255
22,1078.0,0.17,0.225,0.39,0.155,0.12,0.23,0.26,0.145
23,1859.0,0.19,0.135,0.195,0.21,0.325,0.195,0.22,0.255
24,7093.0,0.155,0.22,0.19,0.355,0.41,0.42,0.165,0.23
25,2437.0,0.26,0.13,0.25,0.15,0.195,0.29,0.175,0.29
26,980.0,0.35,0.2,0.155,0.225,0.32,0.44,0.12,0.15
27,7521.0,0.175,0.17,0.16,0.165,0.245,0.175,0.15,0.22
28,6877.0,0.465,0.245,0.265,0.325,0.335,0.54,0.32,0.28
29,7265.0,0.23,0.79,0.355,0.15,0.19,0.4,0.21,0.295
30,2221.0,0.185,0.445,0.335,0.195,0.18,0.23,0.15,0.21
31,2017.0,0.18,0.635,0.18,0.27,0.405,0.18,0.69,0.15
32,8713.0,0.185,0.25,0.345,0.15,0.285,0.17,0.325,0.16
33,1286.0,0.26,0.17,0.32,0.33,0.14,0.255,0.245,0.2
34,3085.0,0.31,0.17,0.215,0.18,0.225,0.175,0.095,0.295
35,5110.0,0.74,0.18,0.255,0.26,0.285,0.365,0.175,0.19
36,5614.0,0.15,0.29,0.435,0.125,0.195,0.255,0.185,0.21
37,8152.0,0.25,0.365,0.225,0.27,0.225,0.275,0.44,0.205
38,4551.0,0.235,0.18,0.535,0.24,0.175,0.38,0.175,0.215
39,5868.0,0.185,0.25,0.35,0.19,0.135,0.155,0.385,0.13
40,5666.0,0.36,0.555,0.375,0.195,0.175,0.37,0.405,0.265
41,7543.0,0.2,0.155,0.225,0.215,0.265,0.22,0.25,0.195
42,4927.0,0.45,0.36,0.27,0.32,0.32,0.465,0.275,0.185
43,4431.0,0.235,0.175,0.25,0.155,0.295,0.325,0.095,0.265
44,4960.0,0.15,0.17,0.155,0.135,0.295,0.31,0.22,0.215
45,4752.0,0.27,0.3,0.14,0.15,0.18,0.38,0.145,0.155
46,9957.0,0.28,0.275,0.17,0.245,0.175,0.255,0.225,0.14
47,1271.0,0.215,0.475,0.3,0.6,0.195,0.18,0.255,0.15
48,9878.0,0.17,0.185,0.31,0.32,0.245,0.17,0.37,0.19
49,5766.0,0.3,0.395,0.245,0.66,0.265,0.19,0.21,0.16
50,5585.0,0.16,0.17,0.215,0.195,0.205,0.175,0.22,0.145
51,6908.0,0.245,0.14,0.135,0.22,0.34,0.23,0.195,0.23
52,2951.0,0.315,0.235,0.135,0.34,0.255,0.235,0.15,0.205
53,9508.0,0.2,0.195,0.36,0.27,0.185,0.545,0.17,0.19
54,1793.0,0.24,0.34,0.245,0.15,0.225,0.18,0.185,0.205
55,5069.0,0.17,0.195,0.16,0.195,0.25,0.135,0.265,0.345
56,2675.0,0.17,0.29,0.15,0.255,0.28,0.245,0.205,0.235
57,4644.0,0.115,0.24,0.205,0.325,0.125,0.15,0.19,0.22
58,5396.0,0.25,0.165,0.245,0.275,0.285,0.155,0.3,0.235
59,2552.0,0.395,0.125,0.265,0.29,0.23,0.28,0.375,0.245
60,7344.0,0.22,0.255,0.265,0.205,0.25,0.34,0.155,0.205
61,5294.0,0.235,0.125,0.18,0.19,0.145,0.49,0.22,0.3
62,1425.0,0.36,0.17,0.46,0.255,0.26,0.18,0.185,0.165
63,1305.0,0.125,0.295,0.2,0.155,0.27,0.175,0.25,0.205
64,7200.0,0.21,0.22,0.28,0.255,0.2,0.2,0.315,0.22
65,5106.0,0.41,0.49,0.265,0.29,0.185,0.285,0.225,0.24
66,7050.0,0.23,0.17,0.27,0.155,0.36,0.205,0.175,0.16
67,464.0,0.175,0.155,0.33,0.19,0.125,0.295,0.27,0.18
68,9978.0,0.245,0.21,0.165,0.49,0.175,0.115,0.195,0.205
69,8803.0,0.455,0.18,0.305,0.15,0.12,0.52,0.15,0.15
70,3023.0,0.195,0.17,0.17,0.14,0.38,0.405,0.23,0.22
71,5794.0,0.36,0.41,0.225,0.665,0.2,0.51,0.445,0.24
72,6785.0,0.445,0.15,0.245,0.31,0.18,0.185,0.22,0.275
73,4281.0,0.16,0.285,0.3,0.26,0.24,0.61,0.17,0.235
74,2562.0,0.12,0.285,0.325,0.315,0.185,0.23,0.16,0.25
75,788.0,0.15,0.165,0.19,0.605,0.43,0.325,0.135,0.155
76,4756.0,0.15,0.24,0.3,0.17,0.26,0.56,0.145,0.26
77,9651.0,0.21,0.315,0.19,0.275,0.21,0.235,0.155,0.215
78,864.0,0.35,0.195,0.415,0.21,0.16,0.175,0.145,0.18
79,4594.0,0.28,0.24,0.2,0.185,0.2,0.15,0.245,0.245
80,6245.0,0.31,0.185,0.37,0.32,0.51,0.12,0.41,0.23
