,Random seed,SPT,EDD,MST,ST,CR,WSPT,FIFO,DQN
0,4155.0,0.47,0.225,0.175,0.3,0.42,0.25,0.18,0.32
1,1126.0,0.355,0.335,0.165,0.3,0.225,0.185,0.225,0.215
2,8704.0,0.69,0.655,0.165,0.285,0.47,0.24,0.5,0.115
3,5692.0,0.225,0.61,0.275,0.425,0.285,0.245,0.13,0.24
4,901.0,0.175,0.395,0.535,0.135,0.165,0.445,0.305,0.145
5,9806.0,0.22,0.22,0.59,0.185,0.215,0.265,0.76,0.225
6,261.0,0.215,0.655,0.17,0.195,0.275,0.5,0.235,0.36
7,7851.0,0.245,0.26,0.365,0.3,0.15,0.265,0.17,0.2
8,9011.0,0.215,0.17,0.36,0.175,0.27,0.19,0.12,0.24
9,9638.0,0.145,0.365,0.18,0.235,0.425,0.245,0.585,0.265
10,8684.0,0.295,0.315,0.28,0.195,0.53,0.235,0.2,0.245
11,9074.0,0.2,0.22,0.23,0.51,0.235,0.43,0.155,0.285
12,2945.0,0.555,0.34,0.78,0.355,0.275,0.33,0.195,0.2
13,4670.0,0.265,0.485,0.245,0.25,0.18,0.135,0.495,0.185
14,8522.0,0.29,0.19,0.3,0.26,0.155,0.335,0.16,0.24
15,68.0,0.215,0.775,0.24,0.73,0.435,0.265,0.355,0.27
16,1381.0,0.345,0.57,0.48,0.375,0.42,0.61,0.25,0.365
17,7087.0,0.355,0.175,0.185,0.27,0.28,0.61,0.255,0.225
18,6076.0,0.145,0.265,0.24,0.28,0.25,0.11,0.12,0.245
19,1854.0,0.12,0.37,0.155,0.415,0.21,0.37,0.56,0.345
20,1955.0,0.83,0.335,0.265,0.46,0.26,0.355,0.425,0.165
21,5046.0,0.18,0.535,0.14,0.59,0.36,0.435,0.16,0.29
22,2565.0,0.345,0.25,0.145,0.18,0.18,0.445,0.455,0.195
23,8639.0,0.125,0.345,0.225,0.26,0.295,0.31,0.3,0.205
24,9165.0,0.27,0.72,0.13,0.42,0.11,0.16,0.48,0.215
